Date,Close/Last,Volume,Open,High,Low
03/02/2024,62027.80,N/A,62057.50,62098.80,61665.30
03/01/2024,62218.20,N/A,61126.40,62446.30,61973.90
02/29/2024,61429.30,N/A,62511.40,61742.00,60790.90
02/28/2024,62509.40,N/A,57208.50,62511.30,61085.40
02/27/2024,57157.20,N/A,55721.50,57160.30,56704.90
02/26/2024,55848.90,N/A,51536.60,56844.80,54464.00
02/25/2024,51507.30,N/A,51619.90,51779.70,51405.40
02/24/2024,51576.20,N/A,50949.00,51868.00,51442.30
02/23/2024,50983.80,N/A,51214.80,50997.60,50592.00
02/22/2024,51234.80,N/A,51434.20,51532.50,50988.10
02/21/2024,51512.80,N/A,51945.20,51854.30,51164.20
02/20/2024,51968.00,N/A,51794.10,52367.30,51824.70
02/19/2024,51775.90,N/A,52094.60,51827.40,51354.60
02/18/2024,52121.00,N/A,51566.70,52358.40,51914.50
02/17/2024,51574.60,N/A,52021.40,51796.40,51199.60
02/16/2024,52020.20,N/A,52132.30,52175.50,51872.90
02/15/2024,52166.00,N/A,52153.30,52346.30,51824.70
02/14/2024,52253.60,N/A,49393.80,52447.10,51751.10
02/13/2024,49406.60,N/A,49910.90,49712.80,49263.80
02/12/2024,49924.40,N/A,48068.20,50326.60,49746.00
02/11/2024,48122.60,N/A,48302.40,48765.60,48037.50
02/10/2024,48364.50,N/A,47419.70,48531.60,47590.20
02/09/2024,47290.70,N/A,45493.00,47347.00,47058.80
02/08/2024,45930.20,N/A,44484.60,46335.20,45254.20
02/07/2024,44507.20,N/A,42926.30,44741.90,44336.40
02/06/2024,42924.30,N/A,42815.60,43179.50,42783.50
02/05/2024,42802.50,N/A,42756.00,42948.50,42566.80
02/04/2024,42743.10,N/A,42915.50,42798.20,42272.50
02/03/2024,42940.50,N/A,43187.00,43063.90,42893.00
02/02/2024,43195.70,N/A,42964.80,43370.40,43144.50
02/01/2024,42953.80,N/A,42057.40,43408.80,42945.30
01/31/2024,42086.90,N/A,42957.90,42662.50,41890.50
01/30/2024,42942.20,N/A,43420.80,43080.80,42688.00
01/29/2024,43433.80,N/A,42212.70,43760.20,43141.80
01/28/2024,42249.00,N/A,42717.50,42487.70,41884.40
01/27/2024,42494.60,N/A,41840.90,42526.60,41948.40
01/26/2024,41845.20,N/A,39936.20,41924.80,41720.40
01/25/2024,40146.00,N/A,39948.40,40211.50,39831.20
01/24/2024,39941.50,N/A,39654.20,40168.60,39908.60
01/23/2024,39675.80,N/A,40053.50,40229.10,39565.70
01/22/2024,40090.10,N/A,40786.80,40159.40,39516.40
01/21/2024,41709.50,N/A,41584.40,41731.60,41576.10
01/20/2024,41680.90,N/A,41603.20,41731.60,41633.20
01/19/2024,41615.30,N/A,41075.70,41686.00,41449.50
01/18/2024,41123.80,N/A,42649.50,41350.40,40752.80
01/17/2024,42641.90,N/A,42851.50,42767.60,42501.70
01/16/2024,42875.00,N/A,42922.90,43192.30,42775.70
01/15/2024,42766.00,N/A,42544.70,42937.30,42472.80
01/14/2024,42553.60,N/A,42676.30,42627.10,41719.20
01/13/2024,42603.20,N/A,42604.70,42877.90,42569.80
01/12/2024,42817.90,N/A,46029.00,42971.60,42443.30
01/11/2024,45949.70,N/A,46505.60,46503.20,45874.40
01/10/2024,46415.10,N/A,45973.60,46738.70,46241.80
01/09/2024,46156.30,N/A,46824.00,46244.50,45642.10
01/08/2024,46805.50,N/A,43598.20,47147.70,46329.10
01/07/2024,43547.80,N/A,44007.20,43977.90,43251.00
01/06/2024,44000.00,N/A,43861.60,44253.50,43865.10
01/05/2024,43895.20,N/A,43597.60,44203.20,43848.20
01/04/2024,43578.60,N/A,43153.50,44297.70,42629.00
01/03/2024,43186.00,N/A,45184.80,43214.30,42632.80
01/02/2024,45164.40,N/A,45201.20,45411.10,44879.80
01/01/2024,45225.00,N/A,42393.20,45483.10,44166.00
12/31/2023,42339.10,N/A,42218.90,42748.90,42225.00
12/30/2023,42204.40,N/A,41995.40,42420.80,41971.40
12/29/2023,42023.00,N/A,42668.30,42208.00,41822.30
12/28/2023,42650.40,N/A,43324.60,42768.40,42160.60
12/27/2023,43378.10,N/A,42307.40,43782.60,43320.80
12/26/2023,42275.70,N/A,43449.60,42543.90,42115.30
12/25/2023,43461.60,N/A,43106.20,43594.90,43375.70
12/24/2023,43113.20,N/A,43804.30,43203.70,42745.30
12/23/2023,43805.10,N/A,43513.90,43935.70,43626.90
12/22/2023,43490.10,N/A,44115.10,43994.60,43325.70
12/21/2023,44133.10,N/A,43630.40,44248.00,43778.00
12/20/2023,43628.00,N/A,42828.00,43720.80,43310.20
